job_id,job_name,company_name,job_location,job_link,query
a775160ffda797e5,"Test Developer, Fall 2024 Co-op",D2L,"Remote in Kitchener, ON",https://ph.indeed.com/viewjob?jk=a775160ffda797e5,Software Developer Fall 2024 Co-op
d4bf0ae39baafb79,Co-op/Intern Ruby Developer (Fall 2024),Fullscript,Remote,https://ph.indeed.com/viewjob?jk=d4bf0ae39baafb79,Software Developer Fall 2024 Co-op
932f8654aacae336,Co-op Fall 2024 - Software Developer/Tester (Cyber) - 8 months,General Dynamics Mission Systems - Canada,"Calgary, AB",https://ph.indeed.com/viewjob?jk=932f8654aacae336,Software Developer Fall 2024 Co-op
63220d8cf8c77a57,"Software Developer, Co-Op Student, Fall Term 2024",Recollective Inc.,"Hybrid work in Ottawa, ON",https://ph.indeed.com/viewjob?jk=63220d8cf8c77a57,Software Developer Fall 2024 Co-op
26b798a2e4333c20,Co-op Fall 2024 - Software Engineer - 4 Months,General Dynamics Mission Systems - Canada,"Hybrid work in Ottawa, ON",https://ph.indeed.com/viewjob?jk=26b798a2e4333c20,Software Developer Fall 2024 Co-op
f59d4804c60f180b,University Co-Op Full-Stack Software Developer - Fall 2024,SIGNIANT INC,"Ottawa, ON",https://ph.indeed.com/viewjob?jk=f59d4804c60f180b,Software Developer Fall 2024 Co-op
6bce43b5270856ae,Software Engineer Co-Op - NHL (8 Months - Fall 2024),Electronic Arts,"Vancouver, BC",https://ph.indeed.com/viewjob?jk=6bce43b5270856ae,Software Developer Fall 2024 Co-op
41aad74758a37051,Customer Issue Investigation Co-op Fall 2024,Ericsson,"Ottawa, ON",https://ph.indeed.com/viewjob?jk=41aad74758a37051,Software Developer Fall 2024 Co-op
eb43620d3a9d8a35,Co-op Fall 2024 - Engineering Developer - 4-8 Months,General Dynamics Mission Systems - Canada,"Ottawa, ON",https://ph.indeed.com/viewjob?jk=eb43620d3a9d8a35,Software Developer Fall 2024 Co-op
d5911b4d289e9021,Portfolio Analytics Intern/Co-op (Fall 2024),TD Bank,"Toronto, ON",https://ph.indeed.com/viewjob?jk=d5911b4d289e9021,Software Developer Fall 2024 Co-op
8cd9a7aa07c21de2,"2024 Fall Student Opportunities Technology & Operations - Software Developer, 8 Months",Royal Bank of Canada,"Toronto, ON",https://ph.indeed.com/viewjob?jk=8cd9a7aa07c21de2,Software Developer Fall 2024 Co-op
d1fea179d66f8c68,Digital Hardware Co-op Fall Season,Ericsson,"Ottawa, ON",https://ph.indeed.com/viewjob?jk=d1fea179d66f8c68,Software Developer Fall 2024 Co-op
819683cb900f69ea,Digital Transformation Coop Fall Season,Ericsson,"Hybrid work in Ottawa, ON",https://ph.indeed.com/viewjob?jk=819683cb900f69ea,Software Developer Fall 2024 Co-op
4f8379a58aeb4a8b,Velocity - Data Scientist Internship/Co-Op - Fall 2024,Scotiabank,"Toronto, ON",https://ph.indeed.com/viewjob?jk=4f8379a58aeb4a8b,Software Developer Fall 2024 Co-op
bfbec16f117e90b0,Information Technology (IT) Team - Canada Wide 2024,Canadian Musicians Co-operative,"Hybrid work in Barrie, ON",https://ph.indeed.com/viewjob?jk=bfbec16f117e90b0,Software Developer Fall 2024 Co-op
